Model,Condition,Accuracy,Precision,Recall,F1 (Macro),F1 (Weighted)
AfriBERTa,HAU,0.7879,0.7899,0.7885,0.7874,0.787
mBERT,HAU,0.7443,0.7467,0.7446,0.7455,0.7451
AfroXLMR,HAU,0.7426,0.7473,0.7436,0.7395,0.739
XLM-RoBERTa,HAU,0.7317,0.7339,0.7322,0.7319,0.7315
tfidf,HAU,0.7269,0.735,0.7277,0.7267,0.7263
AfriBERTa,HAU_AUG,0.7879,0.7899,0.7885,0.7874,0.787
AfriBERTa,SOT,0.7738,0.8033,0.6005,0.655,0.7663
mBERT,SOT,0.7738,0.8046,0.555,0.5878,0.7653
tfidf,SOT,0.7919,0.8477,0.5057,0.5492,0.7585
XLM-RoBERTa,SOT,0.7127,0.4067,0.3983,0.3928,0.6698
AfroXLMR,SOT,0.7081,0.4859,0.3414,0.2935,0.5955
AfriBERTa,SOT_AUG,0.7579,0.7164,0.5782,0.6176,0.7524
AfriBERTa,SWA,0.6136,0.5697,0.5548,0.5617,0.6118
XLM-RoBERTa,SWA,0.6176,0.569,0.5292,0.5443,0.6131
mBERT,SWA,0.5508,0.4842,0.4526,0.4631,0.5472
AfroXLMR,SWA,0.6096,0.3826,0.3917,0.3705,0.5481
tfidf,SWA,0.6043,0.7044,0.3801,0.3585,0.5293
AfriBERTa,SWA_AUG,0.6136,0.5697,0.5548,0.5617,0.6118
mBERT,TSN,0.9784,0.9787,0.9771,0.9779,0.9784
AfriBERTa,TSN,0.9752,0.9749,0.9752,0.975,0.9752
XLM-RoBERTa,TSN,0.9675,0.9658,0.9671,0.9664,0.9675
AfroXLMR,TSN,0.9556,0.954,0.9529,0.9534,0.9555
tfidf,TSN,0.86,0.8591,0.8453,0.8513,0.8593
AfriBERTa,TSN_AUG,0.9676,0.9663,0.9669,0.9666,0.9676
AfriBERTa,TSN_CLOSED,0.589,0.5837,0.5388,0.5526,0.5841
mBERT,TSN_CLOSED,0.5658,0.5613,0.5189,0.5316,0.5612
XLM-RoBERTa,TSN_CLOSED,0.5412,0.3616,0.4249,0.3903,0.4975
AfroXLMR,TSN_CLOSED,0.5311,0.3582,0.4177,0.3818,0.4863
tfidf,TSN_CLOSED,0.3126,0.3255,0.3423,0.3068,0.322
AfriBERTa,TSN_CLOSED_AUG,0.3647,0.3713,0.4001,0.3591,0.3723
XLM-RoBERTa,TSN_CROSSCORPUS,0.3922,0.4054,0.4224,0.3807,0.4007
AfroXLMR,TSN_CROSSCORPUS,0.3632,0.3911,0.4137,0.3596,0.3736
mBERT,TSN_CROSSCORPUS,0.2996,0.323,0.3345,0.2959,0.3113
AfriBERTa,TSN_CROSSCORPUS,0.2547,0.3063,0.3453,0.2526,0.2469
